,F1_sum_vector_magnitude,F2_orientation_angle,F3_std_magnitude,Situation,window_start_index
203,521.71,1.86,1.82,Fall,20300
204,522.24,1.87,1.46,Fall,20400
205,522.25,1.87,1.48,Fall,20500
206,521.28,1.86,3.02,Fall,20600
207,521.5,1.87,3.02,Fall,20700
208,522.63,1.87,1.96,Fall,20800
209,479.06,1.21,327.91,Fall,20900
210,436.2,0.49,164.07,Fall,21000
211,412.02,0.62,257.21,Fall,21100
212,439.32,0.77,297.02,Fall,21200
213,524.37,0.68,282.08,Fall,21300
214,495.73,0.61,296.38,Fall,21400
215,511.0,0.64,340.66,Fall,21500
216,508.01,0.67,334.21,Fall,21600
217,367.21,0.92,308.78,Fall,21700
218,387.64,0.91,331.29,Fall,21800
219,493.5,0.68,320.49,Fall,21900
220,511.67,0.76,353.23,Fall,22000
221,579.24,0.83,438.71,Fall,22100
222,657.05,1.05,514.73,Fall,22200
223,820.59,1.63,888.33,Fall,22300
224,759.81,2.12,635.5,Fall,22400
225,542.03,2.04,216.9,Fall,22500
226,536.95,1.87,26.02,Fall,22600
227,526.88,1.88,7.57,Fall,22700
228,523.01,1.87,7.07,Fall,22800
229,521.83,1.88,6.93,Fall,22900
230,523.07,1.88,6.68,Fall,23000
231,523.0,1.87,4.5,Fall,23100
232,521.87,1.87,3.46,Fall,23200
233,522.13,1.87,4.37,Fall,23300
234,522.89,1.87,5.37,Fall,23400
235,522.66,1.87,4.92,Fall,23500
236,522.45,1.87,3.78,Fall,23600
237,523.67,1.87,4.64,Fall,23700
238,522.87,1.87,4.5,Fall,23800
239,511.08,1.18,356.38,Fall,23900
240,453.27,0.52,144.93,Fall,24000
241,402.44,0.54,201.66,Fall,24100
242,422.25,0.63,271.43,Fall,24200
243,480.72,0.68,290.02,Fall,24300
244,475.24,0.61,271.11,Fall,24400
245,423.82,0.64,278.73,Fall,24500
246,457.62,0.72,310.51,Fall,24600
247,447.58,0.72,312.23,Fall,24700
248,433.3,0.78,329.75,Fall,24800
249,500.3,0.77,338.08,Fall,24900
250,464.4,0.7,321.07,Fall,25000
251,481.5,0.77,379.08,Fall,25100
252,564.75,0.77,381.38,Fall,25200
253,592.02,0.82,422.0,Fall,25300
254,639.44,1.07,540.28,Fall,25400
255,794.79,1.52,815.27,Fall,25500
256,745.87,1.95,654.14,Fall,25600
257,551.5,1.96,245.45,Fall,25700
258,530.8,1.83,57.92,Fall,25800
259,522.78,1.84,10.74,Fall,25900
260,520.97,1.84,2.9,Fall,26000
261,520.62,1.84,2.65,Fall,26100
262,520.68,1.84,3.25,Fall,26200
263,519.88,1.83,2.54,Fall,26300
264,519.53,1.84,2.03,Fall,26400
265,519.59,1.84,1.68,Fall,26500
266,519.5,1.84,1.48,Fall,26600
267,520.04,1.84,3.56,Fall,26700
268,520.04,1.83,4.09,Fall,26800
269,515.64,1.04,374.09,Fall,26900
270,564.73,0.21,111.74,Fall,27000
271,593.85,0.25,108.21,Fall,27100
272,588.1,0.31,133.0,Fall,27200
273,550.51,0.28,150.74,Fall,27300
274,528.12,0.31,162.46,Fall,27400
275,529.76,0.3,180.37,Fall,27500
276,543.35,0.3,193.31,Fall,27600
277,531.8,0.31,205.08,Fall,27700
278,512.19,0.31,199.73,Fall,27800
279,515.84,0.31,189.88,Fall,27900
280,503.89,0.3,189.09,Fall,28000
281,496.23,0.33,195.4,Fall,28100
282,459.62,0.36,182.94,Fall,28200
283,446.71,0.3,171.14,Fall,28300
284,476.6,0.27,164.12,Fall,28400
285,457.31,0.47,232.72,Fall,28500
286,392.89,0.8,274.2,Fall,28600
287,423.86,0.64,226.54,Fall,28700
288,484.56,0.25,52.59,Fall,28800
289,503.91,0.19,14.75,Fall,28900
290,502.57,0.19,12.63,Fall,29000
291,493.92,0.19,17.13,Fall,29100
292,475.88,0.2,30.28,Fall,29200
293,385.87,0.48,157.9,Fall,29300
294,552.92,1.17,672.47,Fall,29400
295,671.04,1.6,685.47,Fall,29500
296,545.0,1.38,236.25,Fall,29600
297,527.66,1.22,94.9,Fall,29700
298,508.0,1.26,22.63,Fall,29800
299,501.04,0.71,314.09,Fall,29900
300,534.55,0.18,67.2,Fall,30000
301,596.19,0.18,57.56,Fall,30100
302,650.22,0.24,87.18,Fall,30200
303,674.0,0.29,91.29,Fall,30300
304,610.04,0.28,123.38,Fall,30400
305,557.45,0.33,159.4,Fall,30500
306,512.34,0.32,185.8,Fall,30600
307,500.49,0.31,193.57,Fall,30700
308,499.91,0.33,203.24,Fall,30800
309,499.62,0.34,199.33,Fall,30900
310,501.57,0.32,191.07,Fall,31000
311,507.47,0.31,193.3,Fall,31100
312,499.51,0.33,205.41,Fall,31200
313,474.6,0.36,191.98,Fall,31300
314,450.85,0.35,166.7,Fall,31400
315,453.4,0.32,164.72,Fall,31500
316,486.15,0.37,165.99,Fall,31600
317,439.56,0.36,140.67,Fall,31700
318,371.75,0.34,99.4,Fall,31800
319,361.81,0.79,261.66,Fall,31900
320,607.27,1.42,646.35,Fall,32000
321,841.2,1.74,753.77,Fall,32100
322,696.23,1.53,487.52,Fall,32200
323,525.35,1.24,84.22,Fall,32300
324,511.37,1.29,55.04,Fall,32400
325,507.91,1.28,60.58,Fall,32500
326,511.24,1.27,55.19,Fall,32600
327,512.42,1.27,41.79,Fall,32700
328,509.94,1.27,38.74,Fall,32800
329,557.04,0.85,399.65,Fall,32900
330,617.46,0.42,75.04,Fall,33000
331,639.45,0.42,78.69,Fall,33100
332,597.89,0.44,134.29,Fall,33200
333,555.36,0.48,150.53,Fall,33300
334,524.77,0.44,177.41,Fall,33400
335,511.86,0.46,198.21,Fall,33500
336,504.96,0.46,204.71,Fall,33600
337,517.39,0.46,204.18,Fall,33700
338,520.97,0.46,207.64,Fall,33800
339,510.58,0.45,203.75,Fall,33900
340,497.55,0.46,200.19,Fall,34000
341,482.69,0.5,189.67,Fall,34100
342,479.94,0.48,183.81,Fall,34200
343,460.87,0.43,177.09,Fall,34300
344,446.13,0.54,183.06,Fall,34400
345,408.25,0.57,159.7,Fall,34500
346,414.59,0.48,104.19,Fall,34600
347,389.39,0.5,104.12,Fall,34700
348,340.53,1.07,243.43,Fall,34800
349,645.25,1.69,680.43,Fall,34900
350,749.11,1.51,608.83,Fall,35000
351,526.26,1.17,114.98,Fall,35100
352,511.14,1.14,28.64,Fall,35200
353,510.79,1.14,16.38,Fall,35300
354,510.47,1.15,14.51,Fall,35400
355,507.69,1.15,7.03,Fall,35500
356,507.15,1.15,7.13,Fall,35600
357,509.72,1.16,7.94,Fall,35700
358,507.88,1.16,12.93,Fall,35800
359,528.91,0.78,357.15,Fall,35900
360,593.68,0.41,103.44,Fall,36000
361,612.75,0.4,103.64,Fall,36100
362,546.3,0.45,145.36,Fall,36200
363,507.21,0.48,167.07,Fall,36300
364,497.96,0.47,192.57,Fall,36400
365,499.23,0.48,229.1,Fall,36500
366,526.32,0.48,227.18,Fall,36600
367,513.45,0.47,224.19,Fall,36700
368,505.12,0.45,216.87,Fall,36800
369,504.6,0.46,206.52,Fall,36900
370,503.4,0.49,196.09,Fall,37000
371,485.42,0.5,181.05,Fall,37100
372,473.98,0.51,181.44,Fall,37200
373,505.09,0.52,185.64,Fall,37300
374,466.25,0.5,161.86,Fall,37400
375,454.3,0.44,92.33,Fall,37500
376,365.73,0.67,228.23,Fall,37600
377,528.15,1.41,593.76,Fall,37700
378,757.48,1.79,733.81,Fall,37800
379,609.1,1.46,312.3,Fall,37900
380,513.6,1.19,34.17,Fall,38000
381,512.24,1.18,20.15,Fall,38100
382,513.08,1.18,14.0,Fall,38200
383,507.3,1.17,8.81,Fall,38300
384,509.57,1.17,11.62,Fall,38400
385,512.99,1.19,8.82,Fall,38500
386,507.97,1.18,8.39,Fall,38600
387,508.78,1.17,9.21,Fall,38700
388,513.0,1.19,11.57,Fall,38800
389,556.39,0.8,358.86,Fall,38900
390,621.66,0.4,94.07,Fall,39000
391,606.02,0.4,107.42,Fall,39100
392,539.27,0.46,139.78,Fall,39200
393,514.31,0.51,175.82,Fall,39300
394,514.6,0.5,193.28,Fall,39400
395,497.5,0.5,210.0,Fall,39500
396,490.35,0.48,207.26,Fall,39600
397,485.93,0.49,211.92,Fall,39700
398,496.32,0.49,212.33,Fall,39800
399,490.37,0.49,214.81,Fall,39900
400,500.88,0.51,211.6,Fall,40000
401,534.96,0.54,177.07,Fall,40100
402,500.32,0.59,201.23,Fall,40200
403,482.66,0.55,182.13,Fall,40300
404,487.31,0.52,138.77,Fall,40400
405,504.95,0.57,143.34,Fall,40500
406,551.19,0.56,122.73,Fall,40600
407,614.75,0.53,306.41,Fall,40700
408,827.12,0.65,537.31,Fall,40800
409,716.5,1.11,505.37,Fall,40900
410,477.87,1.35,105.86,Fall,41000
411,515.28,1.3,45.6,Fall,41100
412,513.08,1.34,14.43,Fall,41200
413,510.78,1.33,10.32,Fall,41300
414,512.72,1.34,9.4,Fall,41400
415,513.15,1.35,6.78,Fall,41500
416,509.65,1.35,5.27,Fall,41600
417,511.89,1.36,4.14,Fall,41700
418,513.65,1.36,10.92,Fall,41800
419,506.8,0.87,355.86,Fall,41900
420,514.79,0.37,83.35,Fall,42000
421,507.82,0.47,139.05,Fall,42100
422,512.77,0.55,177.01,Fall,42200
423,527.83,0.52,178.3,Fall,42300
424,546.21,0.52,189.15,Fall,42400
425,547.78,0.5,199.95,Fall,42500
426,568.5,0.49,205.96,Fall,42600
427,574.88,0.47,198.44,Fall,42700
428,569.3,0.48,203.61,Fall,42800
429,593.78,0.48,198.34,Fall,42900
430,594.52,0.47,185.36,Fall,43000
431,506.29,0.56,200.22,Fall,43100
432,422.25,0.82,168.36,Fall,43200
433,449.96,1.03,129.65,Fall,43300
434,413.47,1.28,142.94,Fall,43400
435,568.73,1.79,626.45,Fall,43500
436,700.9,1.77,661.19,Fall,43600
437,587.71,1.24,319.76,Fall,43700
438,526.69,1.06,94.69,Fall,43800
439,508.0,1.11,21.71,Fall,43900
440,506.62,1.14,13.12,Fall,44000
441,506.35,1.15,7.07,Fall,44100
442,506.32,1.16,9.4,Fall,44200
443,506.6,1.17,6.66,Fall,44300
444,506.55,1.18,3.97,Fall,44400
445,506.38,1.18,4.1,Fall,44500
446,506.07,1.18,5.0,Fall,44600
447,506.14,1.18,4.06,Fall,44700
448,505.87,1.19,10.66,Fall,44800
449,500.51,0.77,342.56,Fall,44900
450,511.9,0.35,74.36,Fall,45000
451,534.51,0.37,93.65,Fall,45100
452,525.72,0.48,150.3,Fall,45200
453,519.66,0.48,155.87,Fall,45300
454,536.68,0.44,162.34,Fall,45400
455,552.56,0.45,178.58,Fall,45500
456,557.57,0.46,186.13,Fall,45600
457,536.89,0.47,191.29,Fall,45700
458,533.57,0.46,191.7,Fall,45800
459,557.97,0.44,188.08,Fall,45900
460,565.84,0.42,182.74,Fall,46000
461,541.4,0.47,198.42,Fall,46100
462,574.43,0.61,241.13,Fall,46200
463,543.04,0.78,195.75,Fall,46300
464,440.02,0.98,94.18,Fall,46400
465,354.92,1.47,198.34,Fall,46500
466,554.26,1.81,473.68,Fall,46600
467,728.11,1.73,557.91,Fall,46700
468,572.47,1.45,218.82,Fall,46800
469,510.13,1.26,43.33,Fall,46900
470,511.19,1.28,10.57,Fall,47000
471,509.73,1.29,10.8,Fall,47100
472,507.79,1.28,14.81,Fall,47200
473,511.63,1.29,16.44,Fall,47300
474,508.13,1.29,12.28,Fall,47400
475,507.45,1.29,11.22,Fall,47500
476,512.0,1.3,8.82,Fall,47600
477,507.65,1.29,10.63,Fall,47700
478,506.37,1.28,15.62,Fall,47800
479,505.13,0.83,356.56,Fall,47900
480,534.39,0.4,124.88,Fall,48000
481,548.49,0.43,130.1,Fall,48100
482,529.71,0.47,143.43,Fall,48200
483,531.39,0.5,179.26,Fall,48300
484,539.02,0.5,190.8,Fall,48400
485,546.6,0.51,195.46,Fall,48500
486,567.19,0.49,189.55,Fall,48600
487,569.45,0.47,199.25,Fall,48700
488,551.74,0.46,192.36,Fall,48800
489,560.24,0.46,163.84,Fall,48900
490,555.91,0.44,155.81,Fall,49000
491,554.44,0.4,122.78,Fall,49100
492,566.01,0.45,99.81,Fall,49200
493,494.08,0.59,118.76,Fall,49300
494,434.08,0.8,101.32,Fall,49400
495,504.2,0.96,138.08,Fall,49500
496,478.04,1.24,218.38,Fall,49600
497,488.19,1.77,390.86,Fall,49700
498,658.86,1.9,530.16,Fall,49800
499,638.75,1.45,366.41,Fall,49900
500,524.73,1.2,77.11,Fall,50000
501,505.85,1.23,28.52,Fall,50100
502,507.6,1.24,10.68,Fall,50200
503,508.02,1.24,8.35,Fall,50300
504,506.29,1.24,5.69,Fall,50400
505,506.95,1.23,4.62,Fall,50500
506,507.76,1.23,4.31,Fall,50600
507,508.52,1.24,4.85,Fall,50700
508,507.91,1.25,10.42,Fall,50800
509,535.23,0.84,377.34,Fall,50900
510,539.89,0.43,148.65,Fall,51000
511,535.97,0.48,151.52,Fall,51100
512,534.93,0.47,174.04,Fall,51200
513,551.12,0.48,192.43,Fall,51300
514,564.76,0.48,191.64,Fall,51400
515,567.56,0.46,191.68,Fall,51500
516,565.98,0.46,185.58,Fall,51600
517,552.66,0.46,176.8,Fall,51700
518,562.75,0.46,173.01,Fall,51800
519,554.68,0.45,174.93,Fall,51900
520,541.13,0.51,174.78,Fall,52000
521,520.0,0.66,187.97,Fall,52100
522,463.95,1.03,205.66,Fall,52200
523,397.69,1.33,151.03,Fall,52300
524,469.31,1.59,298.06,Fall,52400
525,661.83,1.76,511.72,Fall,52500
526,639.82,1.49,354.93,Fall,52600
527,511.75,1.26,77.74,Fall,52700
528,511.4,1.3,32.96,Fall,52800
529,513.72,1.3,25.52,Fall,52900
530,508.51,1.29,9.7,Fall,53000
531,511.02,1.3,9.14,Fall,53100
532,509.65,1.3,10.46,Fall,53200
533,508.53,1.3,11.12,Fall,53300
534,510.92,1.31,9.28,Fall,53400
535,504.93,1.3,10.83,Fall,53500
536,507.4,1.29,15.19,Fall,53600
537,511.37,1.3,11.36,Fall,53700
538,503.68,1.29,14.89,Fall,53800
539,496.61,0.81,342.22,Fall,53900
540,540.75,0.34,95.74,Fall,54000
541,594.3,0.41,98.68,Fall,54100
542,589.64,0.49,127.31,Fall,54200
543,556.82,0.52,157.77,Fall,54300
544,541.71,0.52,191.86,Fall,54400
545,530.5,0.51,190.83,Fall,54500
546,536.52,0.5,180.78,Fall,54600
547,561.84,0.49,178.04,Fall,54700
548,582.69,0.48,183.08,Fall,54800
549,579.58,0.46,187.84,Fall,54900
550,576.46,0.48,172.33,Fall,55000
551,564.52,0.47,163.55,Fall,55100
552,550.99,0.47,147.68,Fall,55200
553,593.7,0.63,214.67,Fall,55300
554,500.21,0.9,227.39,Fall,55400
555,390.19,1.17,131.65,Fall,55500
556,441.61,1.39,139.75,Fall,55600
557,636.59,1.69,481.79,Fall,55700
558,655.78,1.84,344.95,Fall,55800
559,526.35,1.74,96.68,Fall,55900
560,537.92,1.7,27.0,Fall,56000
561,527.24,1.71,28.35,Fall,56100
562,511.12,1.72,7.46,Fall,56200
563,516.65,1.72,7.31,Fall,56300
564,520.21,1.71,3.27,Fall,56400
565,519.09,1.71,3.77,Fall,56500
566,516.27,1.71,3.93,Fall,56600
567,516.58,1.71,3.69,Fall,56700
568,518.33,1.71,22.19,Fall,56800
569,506.57,0.9,369.06,Fall,56900
570,499.97,0.08,44.79,Fall,57000
571,505.78,0.06,3.65,Fall,57100
572,505.63,0.07,3.47,Fall,57200
573,505.08,0.06,6.83,Fall,57300
574,505.54,0.04,10.82,Fall,57400
575,505.07,0.05,32.99,Fall,57500
576,516.6,0.23,104.26,Fall,57600
577,554.34,0.68,205.57,Fall,57700
578,525.35,1.0,182.1,Fall,57800
579,454.44,0.84,106.1,Fall,57900
580,569.06,0.88,439.02,Fall,58000
581,716.66,1.73,664.61,Fall,58100
582,630.97,2.27,368.32,Fall,58200
583,525.7,2.14,57.68,Fall,58300
584,523.07,2.11,18.8,Fall,58400
585,522.54,2.1,11.96,Fall,58500
586,521.87,2.1,2.96,Fall,58600
587,521.98,2.1,3.54,Fall,58700
588,521.68,2.1,2.31,Fall,58800
589,521.96,2.1,1.88,Fall,58900
590,522.29,2.09,1.63,Fall,59000
591,522.37,2.09,1.56,Fall,59100
592,522.42,2.09,1.54,Fall,59200
593,522.02,2.09,2.87,Fall,59300
594,521.75,2.09,2.25,Fall,59400
595,521.82,2.09,1.39,Fall,59500
596,521.79,2.09,1.49,Fall,59600
597,521.8,2.09,1.35,Fall,59700
598,519.94,2.09,25.39,Fall,59800
599,504.06,1.1,424.92,Fall,59900
600,497.68,0.11,50.96,Fall,60000
601,505.15,0.1,4.2,Fall,60100
602,505.13,0.1,5.62,Fall,60200
603,505.38,0.1,5.76,Fall,60300
604,505.02,0.1,3.57,Fall,60400
605,504.96,0.09,3.79,Fall,60500
606,511.52,0.13,72.69,Fall,60600
607,555.06,0.46,203.68,Fall,60700
608,524.22,0.85,208.06,Fall,60800
609,389.96,0.89,176.94,Fall,60900
610,589.27,1.1,534.49,Fall,61000
611,736.48,1.88,665.53,Fall,61100
612,583.52,2.39,243.92,Fall,61200
613,535.15,2.37,141.59,Fall,61300
614,523.55,2.34,18.16,Fall,61400
615,525.24,2.34,2.1,Fall,61500
616,524.85,2.34,1.38,Fall,61600
617,524.87,2.34,1.4,Fall,61700
618,524.99,2.34,1.32,Fall,61800
619,525.05,2.34,1.36,Fall,61900
620,525.03,2.34,1.16,Fall,62000
621,525.15,2.34,1.08,Fall,62100
622,525.34,2.34,1.15,Fall,62200
623,525.29,2.34,1.08,Fall,62300
624,525.21,2.34,1.21,Fall,62400
625,525.04,2.34,1.16,Fall,62500
626,524.94,2.34,1.28,Fall,62600
627,525.16,2.34,1.35,Fall,62700
628,523.15,2.34,27.28,Fall,62800
629,503.71,1.2,461.32,Fall,62900
630,496.61,0.07,57.76,Fall,63000
631,505.71,0.07,12.07,Fall,63100
632,504.93,0.07,5.64,Fall,63200
633,505.04,0.06,7.34,Fall,63300
634,505.78,0.06,13.26,Fall,63400
635,504.3,0.1,45.52,Fall,63500
636,525.9,0.27,135.47,Fall,63600
637,563.39,0.74,247.61,Fall,63700
638,511.99,1.15,178.12,Fall,63800
639,446.12,1.18,228.62,Fall,63900
640,621.64,1.63,588.9,Fall,64000
641,756.08,2.21,658.49,Fall,64100
642,619.64,2.3,375.43,Fall,64200
643,523.76,2.3,28.92,Fall,64300
644,523.6,2.32,7.42,Fall,64400
645,525.51,2.33,5.01,Fall,64500
646,526.02,2.33,2.22,Fall,64600
647,525.63,2.33,2.15,Fall,64700
648,524.67,2.32,2.79,Fall,64800
649,524.09,2.32,3.04,Fall,64900
650,524.87,2.33,2.68,Fall,65000
651,525.6,2.33,1.83,Fall,65100
652,525.65,2.33,1.73,Fall,65200
653,525.51,2.32,1.33,Fall,65300
654,525.31,2.32,1.36,Fall,65400
655,524.63,2.32,1.76,Fall,65500
656,523.85,2.32,2.99,Fall,65600
657,524.57,2.33,3.19,Fall,65700
658,523.6,2.33,26.68,Fall,65800
659,504.45,1.25,448.86,Fall,65900
660,496.45,0.16,55.08,Fall,66000
661,504.88,0.14,6.47,Fall,66100
